"Run","evacuationTime","createdPeds","flow"
"0","25.99999999999997","100.0","3.8461538461538503"
"1","23.99999999999998","100.0","4.1666666666666705"
"2","26.39999999999997","100.0","3.787878787878792"
"3","26.39999999999997","100.0","3.787878787878792"
"4","25.99999999999997","100.0","3.8461538461538503"
"5","24.399999999999977","100.0","4.098360655737709"
"6","26.39999999999997","100.0","3.787878787878792"
"7","26.79999999999997","100.0","3.731343283582094"
"8","23.19999999999998","100.0","4.31034482758621"
"9","25.599999999999973","100.0","3.906250000000004"
"10","23.99999999999998","100.0","4.1666666666666705"
"11","26.79999999999997","100.0","3.731343283582094"
"12","24.799999999999976","100.0","4.032258064516133"
"13","24.399999999999977","100.0","4.098360655737709"
"14","27.599999999999966","100.0","3.623188405797106"
"15","28.399999999999963","100.0","3.521126760563385"
"16","30.799999999999955","100.0","3.2467532467532516"
"17","33.199999999999946","100.0","3.0120481927710894"
"18","27.599999999999966","100.0","3.623188405797106"
"19","25.599999999999973","100.0","3.906250000000004"
"20","29.19999999999996","100.0","3.42465753424658"
"21","24.799999999999976","100.0","4.032258064516133"
"22","27.199999999999967","100.0","3.6764705882352984"
"23","30.399999999999956","100.0","3.289473684210531"
"24","27.999999999999964","100.0","3.571428571428576"
"25","27.599999999999966","100.0","3.623188405797106"
"26","23.59999999999998","100.0","4.237288135593224"
"27","25.199999999999974","100.0","3.9682539682539724"
"28","25.99999999999997","100.0","3.8461538461538503"
"29","25.99999999999997","100.0","3.8461538461538503"
"30","27.199999999999967","100.0","3.6764705882352984"
"31","27.199999999999967","100.0","3.6764705882352984"
"32","26.79999999999997","100.0","3.731343283582094"
"33","26.79999999999997","100.0","3.731343283582094"
"34","26.39999999999997","100.0","3.787878787878792"
"35","27.999999999999964","100.0","3.571428571428576"
"36","27.199999999999967","100.0","3.6764705882352984"
"37","25.99999999999997","100.0","3.8461538461538503"
"38","25.199999999999974","100.0","3.9682539682539724"
"39","29.59999999999996","100.0","3.378378378378383"
"40","21.599999999999987","100.0","4.629629629629632"
"41","28.79999999999996","100.0","3.4722222222222268"
"42","27.599999999999966","100.0","3.623188405797106"
"43","25.599999999999973","100.0","3.906250000000004"
"44","28.79999999999996","100.0","3.4722222222222268"
"45","24.399999999999977","100.0","4.098360655737709"
"46","25.599999999999973","100.0","3.906250000000004"
"47","28.399999999999963","100.0","3.521126760563385"
"48","28.399999999999963","100.0","3.521126760563385"
"49","25.99999999999997","100.0","3.8461538461538503"
"50","27.199999999999967","100.0","3.6764705882352984"
"51","29.19999999999996","100.0","3.42465753424658"
"52","25.99999999999997","100.0","3.8461538461538503"
"53","25.199999999999974","100.0","3.9682539682539724"
"54","26.39999999999997","100.0","3.787878787878792"
"55","28.399999999999963","100.0","3.521126760563385"
"56","31.59999999999995","100.0","3.1645569620253213"
"57","26.39999999999997","100.0","3.787878787878792"
"58","23.59999999999998","100.0","4.237288135593224"
"59","25.599999999999973","100.0","3.906250000000004"
"60","33.99999999999994","100.0","2.9411764705882404"
"61","23.99999999999998","100.0","4.1666666666666705"
"62","23.59999999999998","100.0","4.237288135593224"
"63","24.399999999999977","100.0","4.098360655737709"
"64","27.999999999999964","100.0","3.571428571428576"
"65","25.99999999999997","100.0","3.8461538461538503"
"66","27.599999999999966","100.0","3.623188405797106"
"67","24.399999999999977","100.0","4.098360655737709"
"68","28.79999999999996","100.0","3.4722222222222268"
"69","23.59999999999998","100.0","4.237288135593224"
"70","23.99999999999998","100.0","4.1666666666666705"
"71","29.999999999999957","100.0","3.333333333333338"
"72","25.99999999999997","100.0","3.8461538461538503"
"73","26.79999999999997","100.0","3.731343283582094"
"74","23.59999999999998","100.0","4.237288135593224"
"75","26.79999999999997","100.0","3.731343283582094"
"76","22.399999999999984","100.0","4.464285714285717"
"77","29.59999999999996","100.0","3.378378378378383"
"78","27.599999999999966","100.0","3.623188405797106"
"79","25.99999999999997","100.0","3.8461538461538503"
"80","26.79999999999997","100.0","3.731343283582094"
"81","25.99999999999997","100.0","3.8461538461538503"
"82","26.79999999999997","100.0","3.731343283582094"
"83","25.199999999999974","100.0","3.9682539682539724"
"84","23.99999999999998","100.0","4.1666666666666705"
"85","23.99999999999998","100.0","4.1666666666666705"
"86","23.99999999999998","100.0","4.1666666666666705"
"87","24.399999999999977","100.0","4.098360655737709"
"88","23.59999999999998","100.0","4.237288135593224"
"89","28.79999999999996","100.0","3.4722222222222268"
"90","25.199999999999974","100.0","3.9682539682539724"
"91","24.799999999999976","100.0","4.032258064516133"
"92","23.99999999999998","100.0","4.1666666666666705"
"93","29.999999999999957","100.0","3.333333333333338"
"94","23.99999999999998","100.0","4.1666666666666705"
"95","26.79999999999997","100.0","3.731343283582094"
"96","28.79999999999996","100.0","3.4722222222222268"
"97","24.399999999999977","100.0","4.098360655737709"
"98","27.199999999999967","100.0","3.6764705882352984"
"99","25.99999999999997","100.0","3.8461538461538503"
