b_cor,delta t,flow,specific flow
1.0,166.54913500100903,2.1014819440393944,2.1014819440393944
1.5,111.92876399417696,3.126988876766374,2.084659251177583
2.0,89.48727032061953,3.9111708150891435,1.9555854075445718
2.5,77.74136998022557,4.502107437636186,1.800842975054474
3.0,69.05141146140647,5.068687121560412,1.6895623738534706
3.5,60.858584849980744,5.751037439709884,1.643153554202824
4.0,57.90426277404841,6.044459997112049,1.5111149992780122
